I,J,V
54,54,-4392323.501673427
54,664,-5958336.276020289
664,54,-2958336.2760203015
664,664,-6274225.304878379
226,54,4392323.501673427
226,664,5958336.276020289
836,54,2958336.2760203015
836,664,6274225.304878379
54,226,11530229.967476374
54,836,2447283.7536836024
664,226,5447283.753683605
664,836,3074436.6665923493
226,226,-11530229.967476374
226,836,-2447283.7536836024
836,226,-5447283.753683605
836,836,-3074436.6665923493
54,594,-7137906.465802946
54,1204,3511052.5223366874
664,594,-2488947.477663304
664,1204,3199788.638286031
226,594,7137906.465802946
226,1204,-3511052.5223366874
836,594,2488947.477663304
836,1204,-3199788.638286031
226,54,4019235.640334532
226,664,7053225.607523456
836,54,1053225.607523444
836,664,-2009537.468586141
594,54,-4019235.640334532
594,664,-7053225.607523456
1204,54,-1053225.607523444
1204,664,2009537.468586141
226,226,-14648900.792944886
226,836,-883005.6238234689
836,226,2116994.376176534
836,836,-1884185.496892475
594,226,14648900.792944886
594,836,883005.6238234689
1204,226,-2116994.376176534
1204,836,1884185.496892475
226,594,10629665.152610352
226,1204,-6170219.983699988
836,594,-3170219.9836999783
836,1204,3893722.965478616
594,594,-10629665.152610352
594,1204,6170219.983699988
1204,594,3170219.9836999783
1204,1204,-3893722.965478616
594,54,373087.86133892403
594,664,-1094889.3315031207
1204,54,1905110.668496869
1204,664,8283762.773464525
54,54,-373087.86133892403
54,664,1094889.3315031207
664,54,-1905110.668496869
664,664,-8283762.773464525
594,226,3118670.8254684173
594,836,-1564278.1298601432
1204,226,-7564278.129860141
1204,836,-1190251.1696998896
54,226,-3118670.8254684173
54,836,1564278.1298601432
664,226,7564278.129860141
664,836,1190251.1696998896
594,594,-3491758.686807341
594,1204,2659167.4613632644
1204,594,5659167.461363273
1204,1204,-7093511.6037646355
54,594,3491758.686807341
54,1204,-2659167.4613632644
664,594,-5659167.461363273
664,1204,7093511.6037646355
684,74,5958336.276020305
684,684,-4392323.501673436
227,74,6274225.304878382
227,684,-2958336.2760203043
837,74,-5958336.276020305
837,684,4392323.501673436
684,227,-2447283.753683605
684,837,11530229.967476403
227,227,-3074436.666592354
227,837,5447283.753683606
837,227,2447283.753683605
837,837,-11530229.967476403
684,593,-3511052.5223366995
684,1203,-7137906.4658029685
227,593,-3199788.638286028
227,1203,-2488947.477663302
837,593,3511052.5223366995
837,1203,7137906.4658029685
227,74,-2009537.4685861433
227,684,-1053225.6075234408
837,74,-7053225.607523443
837,684,4019235.6403345205
593,74,2009537.4685861433
593,684,1053225.6075234408
1203,74,7053225.607523443
1203,684,-4019235.6403345205
227,227,-1884185.49689247
227,837,-2116994.376176535
837,227,883005.6238234659
